number,name,category,asterisk2,asterisk3,biggerlinks,smallerlinks,fronttext,backtext,frontimage,backimage
"1","INDEPENDENT REGIONS","TOWNS","/100%","/100%","","2","Metropolitan regions will not come to balance until each one is small and autonomous enough to be an independent sphere of culture.","Wherever possible, work toward the evolution of independent regions in the worId; each with a population between 2 and 10 million; each with its own natural and geographic boundaries; each with its own economy; each one autonomous and self-governing; each with a seat in a world government, without the intervening power of larger states or countries.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//1/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//1/back.gif"
"10","MAGIC OF THE CITY","TOWNS","/80%","/80%","3, 8","11, 16, 31, 33, 58, 63","There are few people who do not enjoy the magic of a great city. But urban sprawl takes it away from everyone except the few who are lucky enough, or rich enough, to live close to the largest centers.","Put the magic of the city within reach of everyone in a metropolitan area. Do this by means of collective regional policies which restrict the growth of downtown areas so strongly that no one downtown can grow to serve more than 300,000 people. With this population base, the down, towns will be between two and nine miles apart.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//10/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//10/back.gif"
"100","PEDESTRIAN STREET","BUILDINGS","/100%","/100%","31, 32, 38, 39, 43, 46, 52, 52, 55, 95, 98, 98","102, 119, 121, 123, 140, 158, 164, 165, 166, 167","The simple social intercourse created when people rub shoulders in public is one of the most essential kinds of social ""glue"" in society.","Arrange buildings so that they form pedestrian streets with many entrances and open stairs directly from the upper stories to the street, so that even movement between rooms is outdoors, not just movement between buildings.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//100/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//100/back.gif"
"101","BUILDING THOROUGHFARE","BUILDINGS","/80%","/80%","95, 98, 100","100, 102, 123, 124, 135, 149, 158, 180, 190, 194, 237","When a public building complex cannot be completely served by outdoor pedestrian streets, a new form of indoor street, quite different from the conventional corridor, is needed.","Wherever density or climate force the main lines of circulation indoors, build them as building thoroughfares. Place each thoroughfare in a position where it functions as a shortcut, as continuous as possible with the public street outside, with wide open entrances. And line its edges with windows, places to sit, counters, and entrances which project out into the hall and expose the buildings' main functions to the public. Make it wider than a normal corridor - at least 11 feet wide and more usually, 15 to 20 feet wide; give it a high ceiling, at least 15 feet, with a glazed roof if possible and low places along the edge. If the street is several stories high, then the walkways along the edges, on the different stories, can be used to form the low places.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//101/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//101/back.gif"
"102","FAMILY OF ENTRANCES","BUILDINGS","/100%","/80%","98","110, 112, 130, 149","When a person arrives in a complex of offices, or services or workshops, or in a group of related houses, there is a good chance he will experience confusion unless the whole collection is laid out before him, so that he can see the entrance of the place where he is going.","Lay out the entrances to form a family. This means: 1. They form a group, are visible together, and each is visible from all the others. 2. They are all broadly similar, for instance all porches, or all gates in a wall, or all marked by a similar kind of doorway.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//102/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//102/back.gif"
"103","SMALL PARKING LOTS","BUILDINGS","/100%","/80%","22, 32, 37, 41, 51, 53, 97, 98","98, 106, 171, 173","Vast parking lots wreck the land for people.","Make parking lots small, serving no more than five to seven cars, each lot surrounded by garden walls, hedges, fences, slopes, and trees, so that from outside the cars are almost invisible. Space these small lots so that they are at least 100 feet apart.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//103/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//103/back.gif"
"104","SITE REPAIR","BUILDINGS","/100%","/100%","95, 95, 96, 98","105, 106, 107, 109, 169, 171, 172","Buildings must always be built on those parts of the land which are in the worst condition, not the best.","On no account place buildings in the places which are most beautiful. In fact, do the opposite. Consider the site and its buildings as a single living eco-system. Leave those areas that are the most precious, beautiful, comfortable, and healthy as they are, and build new structures in those parts of the site which are least pleasant now.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//104/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//104/back.gif"
"105","SOUTH FACING OUTDOORS","BUILDINGS","/100%","/100%","104","106, 107, 111, 128, 161, 162","People use open space if it is sunny, and do not use it if it isn't, in all but desert climates.","Always place buildings to the north of the outdoor spaces that go with them, and keep the outdoor spaces to the south. Never leave a deep band of shade between the building and the sunny part of the outdoors.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//105/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//105/back.gif"
"106","POSITIVE OUTDOOR SPACE","BUILDINGS","/100%","/100%","105, 107","107, 114, 115, 118, 121, 122, 122, 122, 160, 163, 171, 172, 173, 174","Outdoor spaces which are merely ""left over"" between buildings will, in general, not be used.","Make all the outdoor spaces which surround and lie between your buildings positive. Give each one some degree of enclosure; surround each space with wings of buildings, trees, hedges, fences, arcades, and trellised walks, until it becomes an entity with a positive quality and does not spill out indefinitely around corners.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//106/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//106/back.gif"
"107","WINGS OF LIGHT","BUILDINGS","/100%","/100%","75, 76, 77, 78, 80, 81, 82, 83, 87, 105, 106","106, 108, 116, 119, 132, 159, 205","Modern buildings are often shaped with no concern for natural light - they depend almost entirely on artificial light. But buildings which displace natural light as the major source of illumination are not fit places to spend the day.","Arrange each building so that it breaks down into wings which correspond, approximately, to the most important natural social groups within the building. Make each wing long and as narrow as you can - never more than 25 feet wide.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//107/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//107/back.gif"
"108","CONNECTED BUILDINGS","BUILDINGS","/100%","/80%","95, 106, 107","115, 119, 163","Isolated buildings are symptoms of a disconnected sick society.","Connect your building up, wherever possible, to the existing buildings round about. Do not keep set backs between buildings; instead, try to form new buildings as continuations of the older buildings.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//108/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//108/back.gif"
"109","LONG THIN HOUSE","BUILDINGS","/100%","/80%","106","106, 116, 127, 129","The shape of a building has a great effect on the relative degrees of privacy and overcrowding in it, and this in turn has a critical effect on people's comfort and well being.","In small buildings, don't cluster all the rooms together around each other; instead string out the rooms one after another, so that distance between each room is as great as it can be. You can do this horizontally - so that the plan becomes a thin, long rectangle; or you can do it vertically - so that the building becomes a tall narrow tower. In either case, the building can be surprisingly narrow and still work - 8, 10, and 112 feet are all quite possible.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//109/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//109/back.gif"
"11","LOCAL TRANSPORT AREAS","TOWNS","/100%","/100%","3, 8, 10","5, 17, 22, 23, 34, 52, 56, 97","Cars give people wonderful freedom and increase their opportunities. But they also destroy the environment, to an extent so drastic that they kill all social life.","Break the urban area down into local transport areas, each one between 1 and 2 miles across, surrounded by a ring road. Within the local transport area, build minor local roads and paths for internal movements on foot, by bike, on horseback, and in local vehicles; build major roads which make it easy for cars and trucks to get to and from the ring roads, but place them to make internal local trips slow and inconvenient.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//11/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//11/back.gif"
"110","MAIN ENTRANCE","BUILDINGS","/100%","/100%","98, 102, 104, 105, 107","97, 102, 112, 113, 130","Placing the main entrance (or main entrances) is perhaps the single most important step you take during the evolution of a building plan.","Place the main entrance of the building at a point where it can be seen immediately from the main avenues of approach and give it a bold, visible shape which stands out in front of the building.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//110/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//110/back.gif"
